CustomerID,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,AvgQuantityPerTransaction,MaxQuantity,PreferredDayOfWeek,PreferredHour,WeekendPurchaseRatio,UniqueProducts,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,ReturnRatio,TotalTransactions,Age,SupportTicketsCount,SatisfactionScore,AgeCategory,SpendingCategory,FavoriteSeason,PreferredTimeOfDay,Region,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Country,Churn,HasNegativeMonetary,RegYear,RegMonth,RegDay,RegWeekday,IP_IsPrivate,IP_FirstOctet,IP_Class
17850,35,5288.630000000001,16.950737179487184,13.603661689116102,-30.6,5.426282051282051,12,3,9,0.0,24,0.6857142857142857,1,15,0,0.048076923076923,312,,1.0,4.0,Inconnu,VIP,Hiver,Matin,UK,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,1,0,2010,7,17,5,0,59,A
13047,18,3079.1,15.70969387755102,11.6847688239824,-15.0,6.913265306122449,32,2,13,0.1683673469387755,106,5.888888888888889,1,24,0,0.1224489795918367,196,,3.0,4.0,Inconnu,VIP,Automne,Midi,UK,Semaine,Moyen,Explorateur,M,Active,United Kingdom,0,0,2010,10,4,0,0,77,A
12583,18,7187.34,28.634820717131475,23.15013187581723,-60.84,19.95617529880478,360,4,12,0.0557768924302788,115,6.388888888888889,1,4,0,0.0159362549800796,251,46.0,2.0,5.0,45-54,VIP,Automne,Midi,Europe continentale,Semaine,Grand,Explorateur,Unknown,Active,France,0,0,2009,9,12,5,0,51,A
13748,5,948.25,33.86607142857142,42.95311926234322,9.36,15.678571428571429,80,0,9,0.0,24,4.8,1,0,0,0.0,28,32.0,2.0,2.0,25-34,High,Automne,Matin,UK,Inconnu,Grand,Explorateur,Unknown,Active,United Kingdom,1,0,2010,1,28,3,1,10,A
15100,6,635.1,105.85,215.9862634521001,-131.39999999999998,9.666666666666666,32,2,9,0.0,1,0.1666666666666666,1,3,0,0.5,6,,2.0,1.0,Inconnu,High,Hiver,Matin,UK,Inconnu,Moyen,Spécialisé,M,Active,United Kingdom,1,0,2009,12,10,3,0,186,B
15291,20,4596.51,42.16981651376147,49.09086065619568,-35.49,19.027522935779817,144,2,16,0.1651376146788991,63,3.15,1,6,0,0.055045871559633,109,25.0,2.0,5.0,25-34,VIP,Hiver,Après-midi,UK,Semaine,Grand,Explorateur,M,Active,United Kingdom,0,0,2010,10,18,0,0,206,C
14688,27,5107.38,14.226685236768802,23.64446978200517,-72.15,8.974930362116991,120,1,12,0.0,148,5.481481481481482,1,32,0,0.0891364902506963,359,78.0,3.0,2.0,65+,VIP,Hiver,Midi,UK,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,0,0,2010,11,2,1,0,154,B
17809,15,4627.62,72.3065625,142.20644033836976,-717.23,31.484375,144,4,15,0.0,47,3.1333333333333333,1,3,0,0.046875,64,38.0,2.0,2.0,35-44,VIP,Automne,Après-midi,UK,Inconnu,Grand,Explorateur,F,Active,United Kingdom,0,0,2010,12,17,4,0,98,A
15311,118,59419.34,23.85360899237254,46.625077317700935,-275.0,15.14251304696909,288,1,13,0.0397430750702529,571,4.838983050847458,1,112,0,0.0449618627057406,2491,,1.0,3.0,Inconnu,VIP,Hiver,Midi,UK,Semaine,Grand,Explorateur,M,Active,United Kingdom,0,0,2010,9,23,3,0,199,C
14527,86,7711.38,7.627477744807122,9.759291387411546,-80.0,2.026706231454006,36,2,12,0.049455984174085,331,3.8488372093023258,1,39,0,0.0385756676557863,1011,75.0,2.0,1.0,65+,VIP,Hiver,Midi,UK,Semaine,Petit,Explorateur,M,Active,United Kingdom,0,0,2010,9,4,5,0,114,A
16098,7,2005.63,29.934776119402983,35.43095185809055,3.75,9.149253731343284,50,1,9,0.0,34,4.857142857142857,1,0,0,0.0,67,36.0,3.0,3.0,35-44,VIP,Automne,Matin,UK,Inconnu,Moyen,Explorateur,F,Active,United Kingdom,0,0,2010,12,27,0,0,156,B
18074,1,489.6,37.66153846153846,28.254373952290948,15.8,14.615384615384617,48,2,9,0.0,13,13.0,1,0,0,0.0,13,40.0,2.0,4.0,35-44,Medium,Hiver,Matin,UK,Inconnu,Moyen,Modéré,Unknown,Active,United Kingdom,1,0,2010,2,10,2,0,56,A
17420,3,598.83,19.961,5.365604603268926,12.48,8.833333333333334,24,1,15,0.0,28,9.333333333333334,1,0,0,0.0,30,28.0,2.0,-1.0,25-34,High,Été,Après-midi,UK,Inconnu,Moyen,Explorateur,Unknown,Active,United Kingdom,0,0,2010,9,17,4,0,180,B
